term_id,compact_name,label,comment,domain,range,sub_property_of,type,is_link_type,term_status,version,last_modified
gs1:acceptedPaymentMethod,acceptedPaymentMethod,Accepted Payment Method,"Code indicating a means of payment, for example, BANK_CHEQUE, CASH, etc.",gs1:Offer,gs1:PaymentMethod,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:activityIdeas,activityIdeas,Activity Ideas,"A link to ideas for using a product or engaging in other forms of entertainment, particularly with children.",owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:additionalLocationID,additionalLocationID,Has Additional Location ID,"Location identifiers assigned and managed by government bodies, trade organisations, and other entities.",gs1:Place,gs1:LocationID_Details,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:additionalOrganizationID,additionalOrganizationID,Has Additional Organization ID,"Party/organisation identifiers assigned and managed by government bodies, trade organisations, and other entities.",gs1:Organization,gs1:OrganizationID_Details,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:additionalOrganizationIdentificationTypeValue,additionalOrganizationIdentificationTypeValue,Additional Organization Identification Type Value,The value associated with the Additional Organization Identification Type Value.,gs1:Organization,xsd:string,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:additionalProductClassification,additionalProductClassification,Has Additional Product Classification,Relates to a set of additional product classification details,gs1:Product,gs1:AdditionalProductClassificationDetails,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:additionalProductClassificationCode,additionalProductClassificationCode,Additional Product Classification Code,Code specifying the applied additional product classification scheme.,gs1:AdditionalProductClassificationDetails,xsd:string,,rdf:Property; owl:FunctionalProperty; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:additionalProductClassificationCodeDescription,additionalProductClassificationCodeDescription,Additional Product Classification Code Description,A description related to the additional product classification code value.,gs1:AdditionalProductClassificationDetails,rdf:langString,,rdf:Property; owl:DatatypeProperty; owl:FunctionalProperty,false,stable,1.17,2025-11-18
gs1:additionalProductClassificationValue,additionalProductClassificationValue,Additional Product Classification Value,Code specifying an additional product classification other than the GS1 Global Product Classification. The applied classification scheme is specified as additional information together with the classification value.,gs1:AdditionalProductClassificationDetails,xsd:string,,owl:FunctionalProperty; owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:additionalProductDescription,additionalProductDescription,Additional Product Description,"Additional variants necessary to communicate to the industry to help define the product. Multiple variants can be established for each GTIN for e.g. Style, Colour, and Fragrance .",gs1:Product,rdf:langString,,rdf:Property; owl:FunctionalProperty; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:additive,additive,Has Additive,Relates to details about any additives that a product may contain.,gs1:Product,gs1:AdditiveDetails,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:additiveLevelOfContainment,additiveLevelOfContainment,Additive Level Of Containment,Code indicating the level of presence of the additive.,gs1:AdditiveDetails,gs1:LevelOfContainmentCode,,owl:FunctionalProperty; owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
